Solution_ID,Iteration,Reward,Method,Timestamp
1,1,657.8313959896683,Random Search,2025-07-28_12-35-23
2,1,651.5576246682901,Random Search,2025-07-28_12-35-23
3,1,659.9768468282095,Random Search,2025-07-28_12-35-23
4,1,650.9202531096794,Random Search,2025-07-28_12-35-23
5,1,666.0248717937336,Random Search,2025-07-28_12-35-23
6,1,654.3068788803408,Random Search,2025-07-28_12-35-23
7,1,660.4244861385267,Random Search,2025-07-28_12-35-23
8,1,667.686136806981,Random Search,2025-07-28_12-35-23
9,1,669.1216707647823,Random Search,2025-07-28_12-35-23
10,1,665.1102113825987,Random Search,2025-07-28_12-35-23
11,1,659.778921270791,Random Search,2025-07-28_12-35-23
12,1,653.154276429781,Random Search,2025-07-28_12-35-23
13,1,659.7353473067632,Random Search,2025-07-28_12-35-23
14,1,664.2324230209222,Random Search,2025-07-28_12-35-23
15,1,658.1013768787365,Random Search,2025-07-28_12-35-23
16,1,667.9131699943241,Random Search,2025-07-28_12-35-23
17,1,662.7712817079648,Random Search,2025-07-28_12-35-23
18,1,658.5671232306196,Random Search,2025-07-28_12-35-23
19,1,651.6106264971637,Random Search,2025-07-28_12-35-23
20,1,666.9752855910912,Random Search,2025-07-28_12-35-23
21,1,648.4991289830133,Random Search,2025-07-28_12-35-23
22,1,662.6992833354606,Random Search,2025-07-28_12-35-23
23,1,653.8723175014475,Random Search,2025-07-28_12-35-23
24,1,655.780899113638,Random Search,2025-07-28_12-35-23
25,1,669.2009883394868,Random Search,2025-07-28_12-35-23
26,1,647.1995472115747,Random Search,2025-07-28_12-35-23
27,1,657.1622047040238,Random Search,2025-07-28_12-35-23
28,1,663.3470973479727,Random Search,2025-07-28_12-35-23
29,1,663.5936815236909,Random Search,2025-07-28_12-35-23
30,1,646.8382807547398,Random Search,2025-07-28_12-35-23
31,1,657.9380992743571,Random Search,2025-07-28_12-35-23
32,1,648.310228180957,Random Search,2025-07-28_12-35-23
33,1,651.0528331439082,Random Search,2025-07-28_12-35-23
34,1,662.747352393924,Random Search,2025-07-28_12-35-23
35,1,663.2000581778996,Random Search,2025-07-28_12-35-23
36,1,655.2897947886165,Random Search,2025-07-28_12-35-23
37,1,649.5435326104604,Random Search,2025-07-28_12-35-23
38,1,665.0956363383316,Random Search,2025-07-28_12-35-23
39,1,654.7459259243581,Random Search,2025-07-28_12-35-23
40,1,646.8759992128014,Random Search,2025-07-28_12-35-23
41,1,649.0181699883825,Random Search,2025-07-28_12-35-23
42,1,667.5176819754003,Random Search,2025-07-28_12-35-23
43,1,646.1238344991035,Random Search,2025-07-28_12-35-23
44,1,666.7039484379619,Random Search,2025-07-28_12-35-23
45,1,656.5297750127504,Random Search,2025-07-28_12-35-23
46,1,649.0349353159759,Random Search,2025-07-28_12-35-23
47,1,649.7537725337803,Random Search,2025-07-28_12-35-23
48,1,648.3115502605083,Random Search,2025-07-28_12-35-23
49,1,655.9351684277846,Random Search,2025-07-28_12-35-23
50,1,656.9310927650547,Random Search,2025-07-28_12-35-23
